nr,archived_at,player_id,player,position,team,market_value,season_points,matchday_points,avg_matchday_points,matchday_points_per_mio,season_seconds,matchday_seconds,prob,status,acquired,purchase_price,final
1,2026-09-02T08:49:13+02:00,1012,Džeko,ST,Schalke,6966468,-30,-30,-30.0,-4.3,1052,1052,5,fit,,,
2,2026-09-07T23:27:17+02:00,1012,Džeko,ST,Schalke,6966468,-30,0,-15.0,0.0,1052,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,10120,Røssing-Lelesiit,ST,Hamburg,1309787,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
2,2026-09-07T23:27:17+02:00,10120,Røssing-Lelesiit,ST,Hamburg,1309787,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
1,2026-09-02T08:49:13+02:00,10122,Gruber,ABW,Mainz,11934809,130,130,130.0,10.9,5677,5677,2,fit,,,
2,2026-09-07T23:27:17+02:00,10122,Gruber,ABW,Mainz,11934809,317,187,158.5,15.7,11355,5678,2,fit,,,
1,2026-09-02T08:49:13+02:00,10131,Stalmach,MF,Bremen,4028926,147,147,147.0,36.5,1887,1887,5,fit,,,
2,2026-09-07T23:27:17+02:00,10131,Stalmach,MF,Bremen,4028926,172,25,86.0,6.2,3775,1888,5,fit,,,
1,2026-09-02T08:49:13+02:00,10134,Schmetgens,ABW,Bremen,5165870,0,0,0.0,0.0,3740,3740,5,fit,,,
2,2026-09-07T23:27:17+02:00,10134,Schmetgens,ABW,Bremen,5165870,42,42,21.0,8.1,7480,3740,5,fit,,,
1,2026-09-02T08:49:13+02:00,10789,Karl,MF,Bayern,20713863,21,21,21.0,1.0,2100,2100,3,fit,,,
2,2026-09-07T23:27:17+02:00,10789,Karl,MF,Bayern,20713863,94,73,47.0,3.5,4200,2100,3,fit,,,
1,2026-09-02T08:49:13+02:00,10916,Ayhan,ABW,Schalke,4254885,-24,-24,-24.0,-5.6,1101,1101,4,fit,,,
2,2026-09-07T23:27:17+02:00,10916,Ayhan,ABW,Schalke,4254885,-13,11,-6.5,2.6,2203,1102,4,fit,,,
1,2026-09-02T08:49:13+02:00,11006,Suzuki,MF,Freiburg,16292066,395,395,395.0,24.2,4904,4904,1,fit,,,
2,2026-09-07T23:27:17+02:00,11006,Suzuki,MF,Freiburg,16292066,470,75,235.0,4.6,9808,4904,1,fit,,,
1,2026-09-02T08:49:13+02:00,11007,Irié,MF,Freiburg,5245770,60,60,60.0,11.4,2965,2965,5,fit,,,
2,2026-09-07T23:27:17+02:00,11007,Irié,MF,Freiburg,5245770,60,0,30.0,0.0,2965,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11008,Banzuzi,MF,Leipzig,11835477,103,103,103.0,8.7,5521,5521,3,fit,,,
2,2026-09-07T23:27:17+02:00,11008,Banzuzi,MF,Leipzig,11835477,129,26,64.5,2.2,11042,5521,3,fit,,,
1,2026-09-02T08:49:13+02:00,11010,Diks,ABW,M'gladbach,15275350,29,29,29.0,1.9,5845,5845,1,fit,,,
2,2026-09-07T23:27:17+02:00,11010,Diks,ABW,M'gladbach,15275350,82,53,41.0,3.5,11691,5846,1,fit,,,
1,2026-09-02T08:49:13+02:00,11043,Assignon,ABW,Stuttgart,2924285,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,11043,Assignon,ABW,Stuttgart,2924285,0,0,0.0,0.0,0,0,4,fit,,,
1,2026-09-02T08:49:13+02:00,11099,Bellingham,MF,Dortmund,18267263,156,156,156.0,8.5,5878,5878,2,fit,,,
2,2026-09-07T23:27:17+02:00,11099,Bellingham,MF,Dortmund,18267263,246,90,123.0,4.9,11756,5878,2,fit,,,
1,2026-09-02T08:49:13+02:00,11100,Inácio,MF,Dortmund,5881080,-60,-60,-60.0,-10.2,155,155,5,gesperrt (Rot),,,
2,2026-09-07T23:27:17+02:00,11100,Inácio,MF,Dortmund,5881080,-60,0,-30.0,0.0,155,0,5,gesperrt (Rot),,,
1,2026-09-02T08:49:13+02:00,11161,Machida,ABW,Hoffenheim,3213414,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,11161,Machida,ABW,Hoffenheim,3213414,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11162,Avdullahu,MF,Hoffenheim,16460977,75,75,75.0,4.6,5878,5878,1,fit,,,
2,2026-09-07T23:27:17+02:00,11162,Avdullahu,MF,Hoffenheim,16460977,211,136,105.5,8.3,11756,5878,1,fit,,,
1,2026-09-02T08:49:13+02:00,11170,Müller,MF,Paderborn,2779853,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,11170,Müller,MF,Paderborn,2779853,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11186,Maluze,ABW,Frankfurt,4173772,194,194,194.0,46.5,6161,6161,4,fit,,,
2,2026-09-07T23:27:17+02:00,11186,Maluze,ABW,Frankfurt,4173772,194,0,97.0,0.0,6161,0,4,fit,,,
1,2026-09-02T08:49:13+02:00,11253,Mickelson,ABW,Elversberg,3373118,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,11253,Mickelson,ABW,Elversberg,3373118,58,58,29.0,17.2,1249,1249,4,fit,,,
1,2026-09-02T08:49:13+02:00,11255,Katic,ABW,Schalke,10518442,67,67,67.0,6.4,5168,5168,1,fit,,,
2,2026-09-07T23:27:17+02:00,11255,Katic,ABW,Schalke,10518442,174,107,87.0,10.2,10337,5169,1,fit,,,
1,2026-09-02T08:49:13+02:00,11261,Kawasaki,MF,Mainz,2618119,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,11261,Kawasaki,MF,Mainz,2618119,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11262,Musah,ST,Bremen,3815943,-5,-5,-5.0,-1.3,1381,1381,5,fit,,,
2,2026-09-07T23:27:17+02:00,11262,Musah,ST,Bremen,3815943,1,6,0.5,1.6,2762,1381,5,fit,,,
1,2026-09-02T08:49:13+02:00,11512,Capaldo,ABW,Hamburg,9611274,53,53,53.0,5.5,5715,5715,1,fit,,,
2,2026-09-07T23:27:17+02:00,11512,Capaldo,ABW,Hamburg,9611274,51,-2,25.5,-0.2,11430,5715,1,fit,,,
1,2026-09-02T08:49:13+02:00,11513,Kofane,ST,Leverkusen,10309573,109,109,109.0,10.6,2033,2033,5,fit,,,
2,2026-09-07T23:27:17+02:00,11513,Kofane,ST,Leverkusen,10309573,148,39,74.0,3.8,4066,2033,5,fit,,,
1,2026-09-02T08:49:13+02:00,11556,Massengo,MF,Augsburg,11489699,155,155,155.0,13.5,5655,5655,1,fit,,,
2,2026-09-07T23:27:17+02:00,11556,Massengo,MF,Augsburg,11489699,292,137,146.0,11.9,11311,5656,1,fit,,,
1,2026-09-02T08:49:13+02:00,11570,Sebulonsen,ABW,Köln,1503719,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,11570,Sebulonsen,ABW,Köln,1503719,0,0,0.0,0.0,0,0,4,fit,,,
1,2026-09-02T08:49:13+02:00,11591,Lenz,MF,Hoffenheim,1144346,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,11591,Lenz,MF,Hoffenheim,1144346,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11631,Burger,MF,Hoffenheim,20717396,63,63,63.0,3.0,5369,5369,1,fit,,,
2,2026-09-07T23:27:17+02:00,11631,Burger,MF,Hoffenheim,20717396,121,58,60.5,2.8,10738,5369,1,fit,,,
1,2026-09-02T08:49:13+02:00,11665,Potulski,ABW,Mainz,6379611,28,28,28.0,4.4,3265,3265,2,fit,,,
2,2026-09-07T23:27:17+02:00,11665,Potulski,ABW,Mainz,6379611,158,130,79.0,20.4,6531,3266,2,fit,,,
1,2026-09-02T08:49:13+02:00,11666,Kinzig,TW,Mainz,500000,0,0,0.0,0.0,0,0,5,fit,,,
2,2026-09-07T23:27:17+02:00,11666,Kinzig,TW,Mainz,500000,0,0,0.0,0.0,0,0,5,fit,,,
1,2026-09-02T08:49:13+02:00,11675,Díaz,ST,Bayern,53784914,215,215,215.0,4.0,5754,5754,2,fit,,,
2,2026-09-07T23:27:17+02:00,11675,Díaz,ST,Bayern,53784914,344,129,172.0,2.4,11508,5754,2,fit,,,
1,2026-09-02T08:49:13+02:00,11680,Eichhorn,MF,Leverkusen,2662317,0,0,0.0,0.0,0,0,5,verletzt,,,
2,2026-09-07T23:27:17+02:00,11680,Eichhorn,MF,Leverkusen,2662317,0,0,0.0,0.0,0,0,5,verletzt,,,
1,2026-09-02T08:49:13+02:00,11748,Mohya,MF,M'gladbach,7947788,11,11,11.0,1.4,4085,4085,3,fit,,,
2,2026-09-07T23:27:17+02:00,11748,Mohya,MF,M'gladbach,7947788,59,48,29.5,6.0,8171,4086,3,fit,,,
1,2026-09-02T08:49:13+02:00,11752,Omari,ABW,Hamburg,1693722,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
2,2026-09-07T23:27:17+02:00,11752,Omari,ABW,Hamburg,1693722,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
1,2026-09-02T08:49:13+02:00,11756,Culbreath,MF,Leverkusen,1681483,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
2,2026-09-07T23:27:17+02:00,11756,Culbreath,MF,Leverkusen,1681483,0,0,0.0,0.0,0,0,5,Aufbautraining,,,
1,2026-09-02T08:49:13+02:00,118,Grifo,MF,Freiburg,8724314,0,0,0.0,0.0,0,0,3,fit,,,
2,2026-09-07T23:27:17+02:00,118,Grifo,MF,Freiburg,8724314,38,38,19.0,4.4,1248,1248,3,fit,,,
1,2026-09-02T08:49:13+02:00,11875,van den Berg,ABW,Köln,1065572,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,11875,van den Berg,ABW,Köln,1065572,0,0,0.0,0.0,0,0,4,fit,,,
1,2026-09-02T08:49:13+02:00,11886,Rômulo,ST,Leipzig,11056774,0,0,0.0,0.0,0,0,4,angeschlagen,,,
2,2026-09-07T23:27:17+02:00,11886,Rômulo,ST,Leipzig,11056774,0,0,0.0,0.0,0,0,4,angeschlagen,,,
1,2026-09-02T08:49:13+02:00,11949,Nandja,ABW,Hamburg,2508927,0,0,0.0,0.0,0,0,4,fit,,,
2,2026-09-07T23:27:17+02:00,11949,Nandja,ABW,Hamburg,2508927,-1,-1,-0.5,-0.4,2914,2914,4,fit,,,
1,2026-09-02T08:49:13+02:00,11955,El Khannouss,MF,Stuttgart,18756255,-60,-60,-60.0,-3.2,2997,2997,3,fit,,,
